0.028,2.150,2.543,1.753
0.476,2.951,0.689,1.531
0.110,3.921,1.502,0.650
0.091,1.797,1.772,2.500
0.072,4.406,0.793,1.061
0.139,3.527,1.575,0.995
1.091,0.415,2.267,1.718
0.024,2.255,1.021,2.987
0.231,1.661,2.784,0.816
1.108,1.045,0.697,2.742
0.067,0.682,3.040,2.259
0.036,0.338,2.168,3.478
0.856,2.425,1.274,0.735
1.651,0.352,0.770,2.611
0.274,1.733,0.703,3.074
0.097,0.444,4.102,1.438
0.014,2.826,0.388,3.790
1.134,0.284,1.345,2.493
0.997,1.691,1.327,1.294
0.370,2.068,1.062,2.275
0.102,1.389,1.644,3.024
0.555,3.610,1.075,0.477
0.014,0.729,4.002,1.150
0.396,2.067,0.232,3.141
0.185,2.863,2.599,0.224
0.017,3.178,0.718,2.573
0.972,1.390,1.005,1.844
0.138,0.355,3.396,1.723
0.767,2.306,0.542,1.596
0.777,1.605,1.612,1.289
0.040,4.420,0.628,1.384
1.086,1.338,1.430,1.376
1.087,1.959,1.175,1.046
1.535,2.127,0.310,1.369
0.203,0.979,1.484,3.220
0.172,1.020,2.602,1.937
0.234,1.285,0.624,4.130
0.491,1.940,0.575,2.569
0.838,1.347,1.954,1.098
0.063,2.019,0.345,3.896
1.241,0.232,1.238,2.632
1.089,0.624,1.114,2.324
0.043,0.794,4.169,1.223
1.063,1.639,1.235,1.444
1.253,1.222,0.775,2.057
0.258,3.515,1.513,0.840
1.396,0.421,2.245,1.313
0.226,1.946,1.738,1.922
0.926,0.742,1.062,2.604
0.998,1.619,1.795,1.001
0.105,2.763,0.312,3.075
0.233,1.901,2.190,1.527
0.814,2.147,1.656,0.782
0.763,1.747,0.697,2.249
0.484,1.141,2.089,1.830
0.652,0.386,3.557,1.044
1.020,2.382,0.156,2.022
1.030,2.960,0.354,1.165
0.710,2.222,0.506,1.748
0.837,1.929,1.039,1.563
0.296,3.227,0.546,1.984
0.255,2.451,0.037,3.745
0.673,2.027,1.142,1.684
0.608,1.398,1.622,1.576
0.951,2.094,1.153,1.212
0.488,2.034,1.957,0.942
0.553,1.220,1.105,2.834
0.913,1.440,0.823,1.991
1.284,1.695,0.893,1.314
1.277,1.374,1.421,1.073
1.512,2.222,0.333,1.236
0.318,0.877,0.737,4.280
0.838,1.366,1.621,1.385
1.008,2.681,0.376,1.264
0.636,1.941,0.759,2.081
1.271,0.985,1.744,1.215
0.288,3.281,0.897,1.062
0.014,2.160,0.408,3.634
1.131,1.069,1.118,2.066
0.739,0.490,2.164,1.938
0.869,1.621,2.521,0.681
0.789,2.204,1.199,1.222
0.320,3.163,0.848,1.493
1.003,1.579,1.602,1.114
0.990,0.443,1.121,2.602
1.140,1.912,0.932,1.419
0.126,2.188,2.123,1.837
1.282,1.753,1.327,0.952
1.233,1.871,1.242,1.030
0.704,2.090,2.071,0.652
0.453,1.927,3.309,0.506
0.084,3.378,0.777,1.974
0.466,1.145,1.609,2.287
0.914,2.153,0.712,1.626
0.048,3.736,0.625,1.944
0.038,3.788,0.590,1.949
0.072,4.248,1.742,0.098
0.353,2.158,0.818,2.353
1.160,1.166,1.532,1.438
1.450,1.446,0.999,1.318
0.947,0.872,1.041,2.565
1.063,1.127,1.348,1.847
1.135,1.025,1.352,1.804
1.410,2.159,0.350,1.395
1.416,2.115,0.341,1.403
1.429,1.806,1.507,0.502
0.974,0.648,2.428,1.154
1.229,1.391,1.525,1.033
1.069,0.939,0.600,2.593
0.168,0.620,1.800,4.224
0.958,1.424,1.232,1.626
0.973,0.373,1.085,2.826
0.301,0.922,3.015,1.556
0.369,0.787,1.832,2.706
0.321,0.918,2.175,2.609
1.273,1.217,1.315,1.372
0.819,2.145,0.489,1.873
0.525,1.741,1.146,1.658
0.056,0.169,1.973,3.806
0.765,0.887,2.897,0.881
0.554,2.114,0.828,1.613
1.008,0.827,2.610,1.275
1.098,1.222,1.526,1.388
0.529,1.776,1.373,1.521
0.239,3.689,1.273,0.466
0.606,2.344,1.078,1.615
0.930,1.624,0.803,1.845
0.012,2.226,0.331,3.786
0.073,1.875,0.077,4.485
0.061,1.873,0.086,4.485
1.063,0.574,1.109,2.410
1.146,1.010,0.458,2.513
1.435,1.228,1.683,0.874
0.304,0.738,1.463,3.645
0.744,0.948,1.792,1.808
0.664,2.582,1.693,0.614
0.867,1.177,2.117,1.025
0.104,1.657,3.287,1.217
0.568,2.900,0.922,1.397
1.074,1.812,0.971,1.424
0.372,3.210,1.246,1.094
0.985,2.046,1.350,0.974
0.254,3.551,0.561,1.665
1.210,0.873,1.798,1.411
0.801,1.743,0.465,2.552
0.104,2.055,3.294,1.204
0.889,2.103,0.692,1.750
1.045,1.618,2.077,0.673
0.549,2.671,0.206,2.317
1.112,0.938,2.284,0.872
1.391,1.316,0.938,1.534
1.438,1.520,1.266,0.910
1.451,1.526,1.259,0.899
1.321,1.860,0.615,1.409
1.127,1.579,1.139,1.476
0.360,0.737,2.958,1.720
0.476,1.229,2.371,1.718
1.080,0.714,2.145,1.180
1.139,1.534,1.285,1.228
1.076,1.652,0.914,1.655
0.179,0.712,2.024,3.754
0.780,1.961,0.810,1.860
1.144,1.846,0.784,1.396
1.251,1.763,0.838,1.302
0.335,0.221,0.852,4.448
0.410,1.311,2.363,1.159
0.623,2.064,0.960,1.433
0.728,1.825,0.781,2.058
1.105,0.989,1.618,1.684
0.900,1.557,2.893,0.441
0.496,1.978,1.543,1.205
0.636,2.504,0.751,1.826
0.588,2.933,0.408,2.016
1.155,0.861,0.425,2.726
0.703,1.245,0.420,3.586
0.925,0.476,0.994,2.833
0.565,0.784,4.205,0.261
0.938,1.592,1.984,0.927
0.847,0.405,1.018,2.772
0.975,2.541,1.268,0.725
0.849,2.431,1.928,0.403
0.298,0.962,2.784,1.703
0.720,1.770,1.739,1.193
1.186,1.995,1.244,0.929
0.630,2.614,1.319,1.101
0.876,2.549,1.371,0.695
1.670,1.506,1.556,0.581
1.507,1.597,1.614,0.583
1.137,1.992,1.322,0.898
0.480,2.618,1.257,1.512
0.890,1.917,1.553,1.226
0.663,1.644,0.410,3.288
1.005,0.064,2.031,2.582
0.995,1.401,0.920,2.044
1.152,0.907,2.010,1.269
0.621,1.639,1.636,1.663
0.800,1.684,1.491,1.643
0.038,0.601,3.136,3.290
1.151,0.967,1.203,2.059
0.175,3.179,0.826,2.140
0.315,1.692,3.860,0.179
0.510,2.002,1.088,2.017
0.067,1.615,1.326,3.978
1.399,1.209,0.969,1.606
1.098,2.271,0.682,1.210
1.494,1.448,0.684,1.539
1.528,1.740,0.907,1.087
1.573,1.746,0.898,1.044
1.489,1.635,0.697,1.364
1.462,1.801,1.416,0.550
0.457,0.738,2.659,1.786
1.217,1.430,1.443,1.116
0.173,0.445,1.018,4.585
1.193,1.257,1.256,1.657
0.885,1.508,1.227,1.871
0.220,0.619,1.881,3.963
0.244,0.752,2.373,3.010
1.006,2.494,0.664,1.153
1.301,2.442,0.460,0.994
0.752,2.300,0.142,2.152
0.741,2.117,0.521,1.760
1.201,2.583,0.545,0.916
1.185,1.097,2.624,0.696
0.537,0.899,0.326,4.607
1.346,0.796,1.699,1.576
0.789,1.798,0.484,2.404
1.239,0.825,1.605,1.659
1.182,1.002,1.557,1.495
0.239,0.504,2.333,3.601
1.013,0.301,1.255,2.447
0.698,2.721,0.535,1.872
0.690,2.674,0.610,1.822
0.509,2.306,1.903,0.822
1.546,1.808,1.281,0.699
0.080,0.485,0.251,5.388
0.902,0.443,1.427,2.667
0.466,0.097,0.845,5.069
1.082,2.367,1.114,0.911
0.794,0.414,2.073,1.941
0.996,1.850,1.270,1.324
1.422,1.644,1.162,1.056
0.988,2.710,1.230,0.623
1.558,1.582,0.552,1.617
1.375,1.687,1.066,1.231
0.636,2.443,1.198,1.232
0.923,2.051,1.256,1.236
0.690,1.878,1.077,2.143
0.970,1.902,1.540,0.881
0.649,1.721,1.159,2.004
1.500,0.627,1.531,1.509
